product_id,product_name,category,quantity,size,supplier,unit_price,approved_status
124,"Glass Blown Vase",Glassblowing,10,"25 cm tall","Glassworks Studio",60.00,Pending
125,"Hand-Woven Rug",Textile,5,"150x200 cm","Artisan Village",175.00,Approved
126,"Recycled Bottle Candle Holder",Upcycled,20,"10 cm tall","Green Creations",15.25,Rejected
127,"Hand-Embroidered Wall Art",Textile,10,"40x50 cm","Embroidery Emporium",70.00,Approved
128,"Wooden Jewelry Box",Woodworking,15,"20x15x10 cm","Woodcrafters Inc.",45.50,Pending
129,"Hand-Painted Ceramic Plate",Pottery,30,"20 cm diameter","Clay Creations",28.75,Approved
130,"Macrame Dream Catcher",Textile,15,"30 cm diameter","Knotty Creations",35.00,Rejected
131,"Leather-Embossed Journal Cover",Leatherwork,25,"20x15 cm","Leatherworks Co.",52.25,Approved
132,"Hand-Carved Wooden Animal Figurine",Woodworking,20,"10 cm tall","Wooden Wonders",18.00,Pending
133,"Crochet Scarf",Textile,15,"180 cm long","Cozy Knits",22.50,Approved
134,"Glass Blown Pendant",Glassblowing,12,"3 cm diameter","Glassworks Studio",38.75,Pending
135,"Hand-Woven Bag",Textile,30,"30x40 cm","Artisan Village",45.00,Approved
136,"Recycled Tin Can Planter",Upcycled,25,"15 cm tall","Green Creations",12.50,Rejected
137,"Hand-Embroidered Pillowcase",Textile,40,"50x70 cm","Embroidery Emporium",25.00,Approved
138,"Wooden Cutting Board",Woodworking,20,"30x20 cm","Woodcrafters Inc.",32.00,Pending
139,"Hand-Painted Ceramic Bowl",Pottery,35,"15 cm diameter","Clay Creations",21.25,Approved
140,"Macrame Keychain",Textile,50,"10 cm long","Knotty Creations",8.50,Rejected
141,"Leather-Tooled Bookmark",Leatherwork,30,"15x5 cm","Leatherworks Co.",10.75,Approved
142,"Hand-Carved Wooden Chess Piece",Woodworking,100,"5 cm tall","Wooden Wonders",7.50,Pending
143,"Crochet Coasters",Textile,20,"10 cm diameter","Cozy Knits",5.25,Approved
144,"Glass Blown Ornament",Glassblowing,25,"5 cm diameter","Glassworks Studio",15.00,Pending
145,"Hand-Woven Table Runner",Textile,15,"40x120 cm","Artisan Village",37.50,Approved
146,"Recycled Plastic Bottle Flower Vase",Upcycled,30,"20 cm tall","Green Creations",18.00,Rejected
147,"Hand-Embroidered Tablecloth",Textile,5,"150x250 cm","Embroidery Emporium",120.00,Approved
148,"Wooden Photo Frame",Woodworking,30,"10x15 cm","Woodcrafters Inc.",20.50,Pending
149,"Hand-Painted Ceramic Mug",Pottery,50,"12 oz","Clay Creations",12.50,Approved
150,"Macrame Wall Hanging",Textile,20,"40x60 cm","Knotty Creations",35.00,Rejected
151,"Leather-Embossed Phone Case",Leatherwork,40,"Fits iPhone 12","Leatherworks Co.",28.95,Approved
152,"Hand-Carved Wooden Pen",Woodworking,50,"15 cm long","Wooden Wonders",18.75,Pending
153,"Crochet Baby Booties",Textile,25,"Newborn size","Cozy Knits",10.50,Approved
154,"Glass Blown Paperweight",Glassblowing,15,"5 cm diameter","Glassworks Studio",22.00,Pending
155,"Hand-Woven Tote Bag",Textile,40,"40x50 cm","Artisan Village",38.50,Approved
156,"Recycled Cardboard Box Organizer",Upcycled,30,"20x30x15 cm","Green Creations",15.25,Rejected
157,"Hand-Embroidered Apron",Textile,25,"One size","Embroidery Emporium",24.99,Approved
158,"Wooden Puzzle",Woodworking,10,"20x20 cm","Woodcrafters Inc.",12.75,Pending
159,"Hand-Painted Ceramic Teapot",Pottery,15,"500 ml","Clay Creations",32.00,Approved
160,"Macrame Plant Hanger",Textile,30,"40 cm long","Knotty Creations",21.50,Rejected
161,"Leather-Tooled Wallet",Leatherwork,20,"10x15 cm","Leatherworks Co.",45.00,Approved
162,"Hand-Carved Wooden Birdhouse",Woodworking,15,"20x15 cm","Wooden Wonders",16.99,Pending
163,"Crochet Hat",Textile,20,"Adult size","Cozy Knits",18.00,Approved
164,"Glass Blown Bowl",Glassblowing,10,"20 cm diameter","Glassworks Studio",35.75,Pending
165,"Hand-Woven Basket",Basketry,25,"30x40 cm","Basket Weavers",29.95,Approved
166,"Recycled Plastic Bottle Flower Vase",Upcycled,35,"25 cm tall","Green Creations",14.50,Rejected
167,"Hand-Embroidered Cushion Cover",Textile,35,"45x45 cm","Embroidery Emporium",32.25,Approved
168,"Wooden Chess Set",Woodworking,5,"35x35 cm","Woodcrafters Inc.",85.00,Pending
169,"Hand-Painted Ceramic Mug",Pottery,55,"14 oz","Clay Creations",13.25,Approved
